recording_id,species_id
8028f97c2,12
7e60a570a,23
b441cf212,23
cddceb09a,12
adbe22d73,10
acb80ff69,17
b1567318d,17
23f2f2080,17
c12e0a62b,17
a12182698,17
c4ec1e7de,12
19d786948,17
fb71ca02d,23
5bc5ecedf,18
180d82dca,17
62433a307,18
1d949c49d,23
22a4f5ea7,10
d91f26b37,17
caf8b47ae,12
e0e8ceb33,18
ce4002d4e,23
27c146a88,23
7a578a3db,17
4261df85b,23
5b1e3b55b,17
4f1e24bce,10
551385b05,10
d59d099b3,17
9074b816c,17
46d4f692a,18
6d108a590,18
28974b8b6,17
f7cf8e342,12
af0cf8016,10
670946fce,18
206f79102,23
0e0a36d7a,18
c848a67ab,18
71e3f0503,10
5c18970b8,12
16553d5cd,23
d5cd58b16,17
38e65e173,17
783029b7b,18
915443145,10
9cb5f0d5f,18
049bbf288,23
94b789ac1,12
ac7f34e8f,12
2c8b3fa52,23
928ef4799,17
2bb539997,10
d169ed0b5,12
de621d3a5,12
a0af97b46,23
568f644e1,12
437975e83,23
84fd342f8,12
6093f0100,17
f93a90649,10
737d85472,23
f806be4f5,10
5e94a23dd,10
557506b62,17
e42155880,18
f827a8428,23
1ce9fc3a3,10
17817e8f8,12
534ffb33a,10
364e10d4b,17
5cbd74b02,10
9c00b4d82,10
0f51600c8,10
f1b7d8c75,18
0f9fcb0c4,10
dd81b8980,17
7ab53e433,10
5e7749f0e,17
1ed1abd44,17
c8bed66bb,10
428dae65f,18
715e2e294,18
4efa1757c,17
eca5caddc,10
59ce91d00,17
678d9eb55,23
fe754ef0d,10
efd9010ba,23
b6b2bb1cd,17
cfdd68da2,12
ec098238c,10
942ca05c0,18
2e6758f3e,17
2fc2eca0c,17
34ccdfe77,18
6a1ffc4ef,10
45a4a9f44,18
498598789,10
ebeb631d2,18
3c1e77d9f,17
cf44264e5,23
b98d2c0f3,23
e00453b19,17
1e956d53b,17
d015ef3b5,23
ea394632e,10
561ed4362,23
87b953b11,18
