recording_id,species_id,songtype_id,is_tp,mel_0,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,mel_21,mel_22,mel_23,mel_24,mel_25,mel_26,mel_27,mel_28,mel_29,mel_30,mel_31,mel_32,mel_33,mel_34,mel_35,mel_36,mel_37,mel_38,mel_39,mel_40,mel_41,mel_42,mel_43,mel_44,mel_45,mel_46,mel_47,mel_48,mel_49,mel_50,mel_51,mel_52,mel_53,mel_54,mel_55,mel_56,mel_57,mel_58,mel_59,mel_60,mel_61,mel_62,mel_63
8028f97c2,12,1,0,0.7613124,0.56026006,0.65814024,0.9146524,1.0280278,0.92771757,0.88621485,0.9775577,0.95296913,0.7429151,0.63435495,0.4716,0.3572545,0.39383495,0.5748054,0.50379455,-0.036673576,-0.17612353,0.4214579,0.450096,0.041810717,-0.033998836,-0.049333073,-0.19517909,0.11052307,0.5775326,0.8650885,0.81320435,0.5116509,-0.053630482,-0.28781846,-0.23751007,-0.0957734,0.32135084,0.59567297,0.34503976,-0.0037391516,-0.24224994,-0.2816556,-0.24989058,-0.18299231,-0.13062632,-0.068188794,-0.035713885,-0.0024860383,0.044650465,0.12603538,0.1625105,0.20282096,0.25528303,0.30425212,0.4282107,0.48503596,0.5513947,0.6400658,0.709767,0.83212656,0.9780336,1.1702701,1.6163944,1.4855802,1.532548,1.6788112,1.7462313
7e60a570a,23,1,0,-0.16555642,-0.42331052,-0.38881662,-0.3581825,-0.5381841,-0.6069035,-0.53962415,-0.57242626,-0.6174237,-0.6512084,-0.6235599,-0.65729815,-0.79989964,-0.85237986,-0.73378724,-0.5706798,-0.4191543,-0.31940183,-0.21859074,-0.1831029,-0.19716835,-0.47365218,-0.5389602,-0.35934603,-0.16229454,0.16562755,0.55056363,0.5131472,-0.048670914,-0.38743272,-0.41327062,-0.45880803,-0.49637154,-0.48400626,-0.3287105,-0.281363,-0.13489169,-0.18533252,-0.042564284,0.063373655,-0.001102518,-0.14471236,-0.14656667,-0.07014406,-0.034287315,-0.01285734,0.09910767,0.35804746,0.42764428,0.37788415,0.3708613,0.43153897,0.44792387,0.42527625,0.51319075,0.6099582,0.7528898,1.02507,1.124224,1.3435044,1.4023254,1.4623753,1.535544,1.6113801
b441cf212,23,4,1,-0.09900901,-0.15610096,-0.29644638,-0.5220577,-0.8259817,-0.705668,-0.57585543,-0.6605184,-0.59978193,-0.54624695,-0.37084156,-0.26402518,-0.36461207,-0.39587352,-0.39229763,-0.45891067,-0.31825656,-0.16393682,-0.024872703,0.02664226,-0.079832576,-0.3137097,-0.43526238,-0.42372262,-0.30723095,-0.14687695,-0.32923794,-0.46006206,-0.49960163,-0.58809876,-0.6289127,-0.7185543,-0.8076634,-0.856481,-0.7501807,-0.55088276,-0.56917435,-0.61873573,-0.5267005,-0.64964414,-0.7196521,-0.6831517,-0.56077135,-0.47051403,-0.4454757,-0.42095304,-0.3316729,-0.33889538,-0.36846823,-0.2856034,-0.18750569,-0.07494843,-0.021418408,-0.03599018,-0.0068464773,0.05961569,0.12085871,0.2814515,0.40353748,0.5525859,0.5736189,0.65694594,0.79235667,1.0026474
cddceb09a,12,1,0,0.37700942,0.25894445,0.32860878,0.24322008,-0.14155258,-0.22382092,-0.29639834,-0.33009642,-0.16419807,-0.17672063,-0.059288155,0.100096926,0.24064489,0.31031623,0.32310286,0.41203952,0.65081704,0.7807971,0.67775637,0.5899002,0.68333787,0.64942825,0.49921677,0.49618647,0.66738904,0.66964626,0.46050394,0.3000887,0.26603445,0.25936216,0.24311818,0.1754611,0.05251617,0.006283207,0.022361541,-0.12068271,-0.1175418,-0.08358375,-0.07165091,0.008838323,0.07220763,0.014240706,0.14088427,0.23719706,0.2985144,0.5630783,0.46939412,0.50768477,0.51382196,0.6107009,0.5433349,0.48458046,0.43630287,0.48446304,0.49540737,0.54720503,0.57167375,0.67551297,0.80314106,0.79112697,0.8533904,0.9729613,1.1199278,1.3264682
adbe22d73,10,1,0,-0.681383,-0.77658033,-0.6811274,-0.5697113,-0.6572462,-0.7704972,-0.7850931,-0.8425134,-0.9260581,-0.9809213,-0.9810839,-0.8275788,-0.7920328,-0.80908275,-0.7564997,-0.7167473,-0.6964371,-0.7401503,-0.75848144,-0.68147594,-0.6660416,-0.7360794,-0.9177804,-0.98471785,-0.9566658,-0.9109494,-0.9021353,-0.8796634,-0.8715106,-0.894061,-0.8535873,-0.7547108,-0.7559716,-0.7424434,-0.70760965,-0.65352887,-0.63652134,-0.5829257,-0.51113564,-0.41970924,-0.34088627,-0.29472613,-0.21632972,-0.18192087,-0.018642452,0.003423058,0.045147363,0.18742567,0.5879374,0.8030801,0.58837134,0.4681931,0.5100988,0.38536042,0.36549827,0.39010257,0.45410508,0.55476314,0.69986874,0.85153514,0.9249509,1.0528488,1.1613597,1.3583878
acb80ff69,17,1,0,-0.5291263,-0.5950206,-0.35573456,-0.28736246,-0.46715495,-0.58981913,-0.52419037,-0.5592835,-0.48056322,-0.45698452,-0.3466824,-0.3641969,-0.38496652,-0.34016642,-0.28960437,-0.25667733,-0.12350792,0.18836845,1.1175394,1.759027,1.5820781,1.2814463,0.89597464,0.3729961,0.19735776,0.5941779,1.2725779,1.6211631,1.5658506,1.1809083,0.655842,-0.0038113543,-0.37410668,-0.626254,-0.700661,-0.6531709,-0.59252465,-0.4858803,-0.027121775,0.25144905,0.04001829,-0.20670122,-0.24228202,-0.24761839,-0.25539133,-0.2771035,-0.17055279,-0.08380384,-0.06040084,-0.025755508,0.11632321,0.21208912,0.22282682,0.26791078,0.30806866,0.37178177,0.56870747,0.6639863,0.7095167,0.8278278,0.88991576,1.1264725,1.1493727,1.2377641
b1567318d,17,4,0,-0.09896873,-0.11439934,-0.1859684,-0.20864287,-0.39088732,-0.5718581,-0.52341205,-0.51992804,-0.58069587,-0.5854449,-0.6015632,-0.62446946,-0.6399583,-0.63391215,-0.68323994,-0.72331756,-0.65501696,-0.41242984,-0.2752742,-0.44141242,-0.663019,-0.70043826,-0.623365,-0.5335015,-0.33179638,-0.057552245,-0.067942984,-0.49136183,-0.69559634,-0.66627604,-0.68898904,-0.8517879,-0.92496914,-0.9563738,-0.89769244,-0.82220685,-0.7320393,-0.6613241,-0.5513525,-0.57890177,-0.58142036,-0.47844124,-0.37943697,-0.28127617,-0.26281777,-0.24381547,-0.19074039,-0.1440921,-0.13727959,-0.08710535,0.01584803,0.12205269,0.11974332,0.064537026,0.10446746,0.14882004,0.21343714,0.38599122,0.4955485,0.6144623,0.61700356,0.7081585,0.81599844,1.0238155
23f2f2080,17,1,0,-0.14884391,-0.10720987,-0.06005161,0.101102725,0.106073365,-0.1586291,-0.45790887,-0.5162986,-0.54680645,-0.5411683,-0.39895377,-0.27922735,-0.17068039,-0.08567081,-0.06456298,-0.07497605,0.042180497,0.26275882,0.030425748,-0.1458409,-0.08044288,-0.13370131,-0.22069135,-0.18973275,-0.016923878,0.076189645,-0.102249295,-0.290021,-0.31934756,0.08214758,0.5706879,1.0424954,1.6888115,2.2270324,2.2480264,1.4158852,0.45972794,-0.17036061,-0.37459522,-0.3832599,-0.36042318,-0.3240668,-0.17201999,-0.09515538,-0.0076362453,0.16379687,0.056649517,0.06913937,0.03620617,0.1097154,0.1292718,0.1268218,0.13429181,0.24432151,0.24977379,0.29165807,0.36597565,0.5395505,0.6606136,0.6713609,0.71558493,0.87370473,0.98145926,1.2070428
c12e0a62b,17,1,1,0.2787675,0.14366956,0.2390005,0.10377376,-0.08919786,-0.015971279,0.15165153,0.46202785,0.67118657,0.5220107,0.40619412,0.35990116,0.23715116,0.1508181,0.30837482,0.49864867,0.3451093,0.17797166,0.28193772,0.39767933,0.30416355,0.21587047,0.2433397,0.5615145,1.0008569,1.2066568,1.4477303,1.4026841,0.9890074,0.60230166,0.44400498,0.19205675,-0.020569434,-0.1616138,-0.18112244,-0.08038945,-0.18171442,-0.26873657,-0.1292986,0.009465689,0.14476237,0.16945153,0.045323737,0.12290967,0.33172208,0.5195644,0.44170597,0.5284293,0.7682421,0.84794194,0.74417746,0.40732166,0.31127343,0.36113,0.4209072,0.46292812,0.6220408,0.7624262,0.9737322,0.991546,1.0501516,1.3049302,1.5355166,1.2254088
a12182698,17,1,0,0.61924654,0.53588915,0.40670612,0.5254331,0.79211444,0.8174549,0.8156219,0.67380375,0.56446505,0.25697675,0.19965948,0.21861187,0.16350894,0.17612077,0.25846308,0.29819587,0.41114452,0.44974872,1.0676619,1.9611757,1.8701613,1.1680552,0.76230174,0.59618556,0.79079705,1.2239479,1.7120081,1.9290451,1.8724543,1.3174461,0.3430684,0.021399545,-0.21208325,-0.24950989,-0.18829119,-0.17571898,0.53993034,0.5778552,0.47940212,0.6186851,1.4406136,1.934039,1.2627134,0.5655621,0.12807854,0.08313991,0.11278991,0.16163328,0.238058,0.2771142,0.34356764,0.38780114,0.44853997,0.5692134,0.6038709,0.6924329,0.9083757,1.1226883,1.216018,1.2899246,1.4797982,1.9795798,2.2341652,2.2599478
